label,loop_state,loss_reason,locked,phase_locked,frequency_locked,phase_error,freq_error,freq_error_usable,state_measurement_valid,good_count,bad_count,hybrid_fll,hybrid_pll_i,hybrid_pll_p,hybrid_kf,hybrid_ki,hybrid_kp,fll_term,i_term,p_term,freq_state,freq_correction,correction_valid
t0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t100us,3,0,0,0,0,-118968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t200us,3,0,0,1,0,-96255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t500us,3,0,0,0,0,-128893,-9843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t1ms,3,0,0,0,0,67580,-12218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2ms,4,3,0,0,0,-59948,-10068,0,0,0,6,1,0,0,8000000,0,0,-1229004,0,0,-128060486,-128060486,0
t3ms,4,3,0,0,0,105500,-6342,0,0,0,18,1,0,0,8000000,0,0,-774170,0,0,-348518828,-348518828,0
t4ms,4,3,0,0,0,14822,-5139,0,0,0,30,1,0,0,8000000,0,0,-627320,0,0,-507092030,-507092030,0
t5ms,4,3,0,0,0,-50724,-4319,0,0,0,42,1,0,0,8000000,0,0,-527222,0,0,-637996554,-637996554,0
t6ms,4,3,0,0,0,-111906,-3087,0,0,0,55,1,0,0,8000000,0,0,-376832,0,0,-745009942,-745009942,0
t7ms,4,3,0,0,0,112909,-3160,0,0,0,67,1,0,0,8000000,0,0,-385743,0,0,-834181073,-834181073,0
t8ms,4,3,0,0,1,87857,-1831,0,0,4,0,1,0,0,8000000,0,0,-223511,0,0,-886030750,-886030750,0
t9ms,4,3,0,0,0,56917,-2535,0,0,0,11,1,0,0,8000000,0,0,-309449,0,0,-945326393,-945326393,0
t10ms,4,3,0,0,1,46370,-1181,0,0,10,0,1,0,0,8000000,0,0,-144166,0,0,-984274496,-984274496,0
t11ms,5,0,0,0,1,39964,-1018,0,0,0,0,1,1,1,1500000,468800,6000000,-23301,71468,58541015,-991350805,-932809790,0
t12ms,5,0,0,0,1,8236,-1712,0,0,0,0,1,1,1,1500000,468800,6000000,-39185,14928,12228515,-992013530,-979785015,0
t13ms,5,0,0,0,1,-12702,-1263,0,0,0,0,1,1,1,1500000,468800,6000000,-28908,-22575,-18490723,-1000973132,-1019463855,0
t14ms,5,0,0,0,1,-19166,-672,0,0,0,0,1,1,1,1500000,468800,6000000,-15381,-34276,-28075196,-1011777425,-1039852621,0
t15ms,5,0,0,0,1,-39964,-507,0,0,0,0,1,1,1,1500000,468800,6000000,-11605,-71469,-58541016,-1023447389,-1081988405,0
t16ms,5,0,0,0,1,-25572,-433,0,0,0,0,1,1,1,1500000,468800,6000000,-9911,-45732,-37458985,-1036063489,-1073522474,0
t17ms,5,0,0,0,1,-46370,-70,0,0,0,0,1,1,1,1500000,468800,6000000,-1603,-82925,-67924805,-1052365100,-1120289905,0
t18ms,5,0,0,0,1,-46370,22,0,0,0,0,1,1,1,1500000,468800,6000000,503,-82925,-67924805,-1068634758,-1136559563,0
t19ms,5,0,0,0,1,-46370,144,0,0,0,0,1,1,1,1500000,468800,6000000,3295,-82925,-67924805,-1084358312,-1152283117,0
t20ms,5,0,0,0,1,-25572,52,0,0,0,0,1,1,1,1500000,468800,6000000,1190,-45732,-37458985,-1095203517,-1132662502,0
t21ms,5,0,0,0,1,-25572,45,0,0,0,0,1,1,1,1500000,468800,6000000,1029,-45732,-37458985,-1103859200,-1141318185,0
t22ms,5,0,0,0,1,-25572,182,0,0,0,0,1,1,1,1500000,468800,6000000,4165,-45732,-37458985,-1112229501,-1149688486,0
t23ms,5,0,0,0,1,-19166,384,0,0,0,0,1,1,1,1500000,468800,6000000,8789,-34276,-28075196,-1124035240,-1152110436,0
t24ms,5,0,0,0,1,-19166,218,0,0,0,0,1,1,1,1500000,468800,6000000,4989,-34276,-28075196,-1129576269,-1157651465,0
t25ms,5,0,0,0,1,-22115,360,0,0,0,0,1,1,1,1500000,468800,6000000,8239,-39583,-32422852,-1136900769,-1169323621,0
t26ms,5,0,0,0,1,-17510,405,0,0,0,0,1,1,1,1500000,468800,6000000,9269,-31314,-25649415,-1142203115,-1167852530,0
t27ms,5,0,0,0,1,-12495,431,0,0,0,0,1,1,1,1500000,468800,6000000,9864,-22389,-18338379,-1145630622,-1163969001,0
t28ms,5,0,0,0,1,-7476,400,0,0,0,0,1,1,1,1500000,468800,6000000,9155,-13417,-10989258,-1147264462,-1158253720,0
t29ms,5,0,0,1,1,-2681,380,0,0,8,0,1,1,1,1500000,468800,6000000,8697,-4836,-3960938,-1147264978,-1151225916,0
t30ms,5,0,0,1,1,1468,295,0,0,20,0,1,1,1,1500000,468800,6000000,6752,2593,2124023,-1145887221,-1143763198,0
